DEBUG [2018-10-15 02:13:52] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 16268 9088 
 	 [ServerAdmin : userquery]Training complete in 1.216748 real seconds 

DEBUG [2018-10-15 02:14:14] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 14036 
 	 [ServerAdmin : userquery]Training complete in 1.198795 real seconds 

DEBUG [2018-10-15 02:14:53] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 7640 
 	 [ServerAdmin : userquery]Training complete in 1.106043 real seconds 

DEBUG [2018-10-15 02:14:55] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 15504 
 	 [ServerAdmin : userquery]Training complete in 1.123037 real seconds 

DEBUG [2018-10-15 02:15:15] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 6488 
 	 [ServerAdmin : userquery]Training complete in 1.124990 real seconds 

DEBUG [2018-10-15 02:15:20] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 9492 
 	 [ServerAdmin : userquery]Training complete in 1.083104 real seconds 

DEBUG [2018-10-15 02:15:21] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 15080 
 	 [ServerAdmin : userquery]Training complete in 1.130975 real seconds 

DEBUG [2018-10-15 02:15:50] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 6460 
 	 [ServerAdmin : userquery]Training complete in 1.145936 real seconds 

DEBUG [2018-10-15 02:16:37] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 4340 5504 
 	 [ServerAdmin : userquery]Training complete in 1.134964 real seconds 

DEBUG [2018-10-15 02:20:11] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 9784 3752 
 	 [ServerAdmin : userquery]Training complete in 1.196801 real seconds 

DEBUG [2018-10-15 02:21:25] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7720 224 
 	 [ServerAdmin : userquery]Training complete in 1.113059 real seconds 

DEBUG [2018-10-15 02:26:52] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 8972 
 	 [ServerAdmin : userquery]Training complete in 1.103050 real seconds 

DEBUG [2018-10-15 02:26:59] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 11668 
 	 [ServerAdmin : userupd]Training complete in 1.225001 real seconds 

DEBUG [2018-10-15 02:27:00] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 15936 
 	 [ServerAdmin : userquery]Training complete in 1.088089 real seconds 

DEBUG [2018-10-15 02:27:07] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 10568 
 	 [ServerAdmin : userupd]Training complete in 1.132977 real seconds 

DEBUG [2018-10-15 02:27:09] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 14348 
 	 [ServerAdmin : userquery]Training complete in 1.109030 real seconds 

DEBUG [2018-10-15 02:29:15] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 15036 
 	 [ServerAdmin : userquery]Training complete in 1.095072 real seconds 

DEBUG [2018-10-15 02:29:18] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 13732 
 	 [ServerAdmin : userquery]Training complete in 1.091106 real seconds 

DEBUG [2018-10-15 02:29:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 1332 
 	 [ServerAdmin : userquery]Training complete in 1.098064 real seconds 

DEBUG [2018-10-15 02:29:31] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7616 
 	 [ServerAdmin : userquery]Training complete in 1.090085 real seconds 

DEBUG [2018-10-15 02:29:36] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 9656 
 	 [ServerAdmin : userupd]Training complete in 1.212755 real seconds 

DEBUG [2018-10-15 02:29:37] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 6992 
 	 [ServerAdmin : userquery]Training complete in 1.264619 real seconds 

DEBUG [2018-10-15 02:59:50] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 6412 
 	 [ServerAdmin : userquery]Training complete in 1.189819 real seconds 

DEBUG [2018-10-15 03:01:09] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7160 
 	 [ServerAdmin : userquery]Training complete in 1.162890 real seconds 

DEBUG [2018-10-15 03:02:26] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 16016 
 	 [ServerAdmin : userquery]Training complete in 1.169872 real seconds 

DEBUG [2018-10-15 03:03:22] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 1216 
 	 [ServerAdmin : userquery]Training complete in 1.167917 real seconds 

DEBUG [2018-10-15 03:03:27] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 9608 
 	 [ServerAdmin : userquery]Training complete in 1.243675 real seconds 

DEBUG [2018-10-15 03:03:29] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 640 
 	 [ServerAdmin : userquery]Training complete in 1.106042 real seconds 

DEBUG [2018-10-15 03:03:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 1108 
 	 [ServerAdmin : userquery]Training complete in 1.091126 real seconds 

DEBUG [2018-10-15 03:05:24] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7288 
 	 [ServerAdmin : userquery]Training complete in 1.062159 real seconds 

DEBUG [2018-10-15 03:05:26] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7908 
 	 [ServerAdmin : userquery]Training complete in 1.176853 real seconds 

DEBUG [2018-10-15 03:05:48] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 10952 
 	 [ServerAdmin : userquery]Training complete in 1.055179 real seconds 

DEBUG [2018-10-15 03:06:03] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 180 
 	 [ServerAdmin : userquery]Training complete in 1.063224 real seconds 

DEBUG [2018-10-15 03:06:45] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7628 
 	 [ServerAdmin : userquery]Training complete in 1.132971 real seconds 

DEBUG [2018-10-15 03:08:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 8920 
 	 [ServerAdmin : userquery]Training complete in 1.082108 real seconds 

DEBUG [2018-10-15 03:08:36] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 6868 
 	 [ServerAdmin : userquery]Training complete in 1.106042 real seconds 

DEBUG [2018-10-15 03:08:38] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 7628 
 	 [ServerAdmin : userquery]Training complete in 1.147930 real seconds 

DEBUG [2018-10-15 03:08:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 13564 
 	 [ServerAdmin : userquery]Training complete in 1.120040 real seconds 

DEBUG [2018-10-15 03:14:20] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 15212 
 	 [ServerAdmin : userquery]Training complete in 1.133006 real seconds 

DEBUG [2018-10-15 03:14:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 10260 
 	 [ServerAdmin : userquery]Training complete in 1.065154 real seconds 

DEBUG [2018-10-15 03:14:36] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 9744 
 	 [ServerAdmin : userquery]Training complete in 1.053184 real seconds 

DEBUG [2018-10-15 03:15:59] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 2704 
 	 [ServerAdmin : userquery]Training complete in 1.062833 real seconds 

DEBUG [2018-10-15 03:16:02] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 12672 
 	 [ServerAdmin : userquery]Training complete in 1.332439 real seconds 

DEBUG [2018-10-15 03:19:38] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15256 12676 
 	 [ServerAdmin : userquery]Training complete in 1.060165 real seconds 

